@relation data/jdt-original.csv-weka.filters.unsupervised.attribute.Remove-R1

@attribute WCHU_fanIn numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfNonTrivialBugsFoundUntil numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsLinEntropy numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute WCHU_numberOfAttributes numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute WCHU_noc numeric
@attribute ck_oo_noc numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute label {0,1}

@data
0.0,0.0,1.0,0.0,0.0,3.0,0.001973,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0
2.05,1.03,7.0,0.0,0.006371,10.0,0.149122,0.0,0.0,0.032335,0.009096,0.0,3.0,127.0,1
0.0,0.0,1.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,21.0,0
0.0,0.0,13.0,0.0,0.002401,4.0,0.030645,1.01,2.02,0.01375,0.005279,0.0,0.0,281.0,0
1.01,0.0,1.0,0.0,0.0,1.0,0.154243,0.0,0.0,0.002221,0.0,0.0,0.0,3.0,0
2.03,1.01,14.0,0.0,0.0,13.0,0.159054,0.0,0.0,0.004821,0.001805,0.0,0.0,303.0,0
1.02,2.05,1.0,0.0,0.0,4.0,0.009766,0.0,0.0,0.036469,0.001035,0.0,0.0,23.0,0
0.0,26.69,3.0,0.0,0.0,2.0,0.006363,1.02,1.02,0.002542,0.0,0.0,0.0,10.0,0
35.57,0.0,16.0,0.0,0.0,34.0,0.112974,0.0,0.0,0.001487,0.014908,0.0,0.0,845.0,0
0.0,0.0,2.0,0.0,0.0,1.0,0.006219,0.0,0.0,0.002666,0.0,0.0,0.0,27.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.007625,0.0,0.0,0.001487,0.0,0.0,0.0,11.0,0
4.04,9.2,15.0,0.0,0.0,23.0,0.185777,0.0,0.0,0.00474,0.02255,0.0,3.0,251.0,1
5.05,15.05,15.0,0.0,0.0,24.0,0.161999,0.0,0.0,0.048762,0.01135,0.0,0.0,190.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,72.0,0
1.01,0.0,1.0,0.0,0.0,2.0,0.152618,0.0,0.0,0.001487,0.0,0.0,0.0,14.0,0
3.03,1.01,9.0,0.0,0.0,7.0,0.151789,0.0,0.0,0.004821,0.000836,0.0,0.0,156.0,0
0.0,0.0,0.0,0.0,0.0,8.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,38.0,0
0.0,0.0,1.0,0.0,0.0,4.0,0.12672,0.0,0.0,0.001487,0.002565,0.0,0.0,37.0,0
1.02,0.0,0.0,0.0,0.0,4.0,0.143022,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0
0.0,0.0,4.0,0.0,0.0,8.0,0.007428,0.0,0.0,0.001695,0.0,0.0,0.0,312.0,0
0.0,1.01,7.0,0.0,0.0,3.0,0.154542,0.0,0.0,0.004821,0.0,0.0,0.0,59.0,0
0.0,10.85,4.0,0.0,0.0,2.0,0.021925,0.0,0.0,0.026145,0.0,0.0,0.0,123.0,0
0.0,10.14,1.0,0.0,0.0,1.0,0.008449,0.0,0.0,0.02165,0.0,0.0,0.0,17.0,1
0.0,0.0,5.0,0.0,0.0,2.0,0.016202,0.0,0.0,0.002551,0.0,0.0,0.0,9.0,0
0.0,0.0,5.0,0.0,0.002975,1.0,0.064382,0.0,0.0,0.010253,0.006341,0.0,0.0,167.0,0
1.01,0.0,0.0,1.03,0.0,4.0,0.003978,0.0,1.03,0.002618,0.000954,0.0,0.0,33.0,0
9.13,0.0,16.0,3.04,0.00081,17.0,0.170381,7.09,9.13,0.001487,0.009468,0.0,0.0,245.0,1
1.01,3.91,25.0,3.04,0.005679,1.0,0.188789,1.01,3.05,0.008092,0.013279,0.0,0.0,209.0,0
0.0,0.0,15.0,0.0,0.0,6.0,0.031608,0.0,0.0,0.001487,0.0,0.0,0.0,233.0,0
0.0,0.0,1.0,1.01,0.0,3.0,0.012638,0.0,1.01,0.001487,0.0,0.0,0.0,18.0,0
1.01,0.0,22.0,1.01,0.001794,1.0,0.196679,1.01,2.03,0.002666,0.035476,0.0,0.0,251.0,1
0.0,0.0,4.0,0.0,0.0,3.0,0.003379,0.0,0.0,0.001487,0.0,0.0,0.0,26.0,0
1.01,0.0,9.0,1.02,0.0,8.0,0.016467,0.0,1.02,0.0,0.001472,1.01,1.0,23.0,0
9.1,3.18,62.0,1.01,0.0,67.0,0.195781,0.0,2.02,0.022349,0.040452,2.02,2.0,830.0,1
0.0,0.0,4.0,0.0,0.0,3.0,0.003379,0.0,0.0,0.001487,0.0,0.0,0.0,26.0,0
1.11,0.0,2.0,0.0,0.0,10.0,0.154538,1.01,1.01,0.001487,0.00083,0.0,0.0,52.0,0
1.01,0.0,3.0,0.0,0.0,5.0,0.133409,0.0,0.0,0.001487,0.001035,0.0,2.0,47.0,0
9.1,3.18,62.0,1.01,0.0,67.0,0.195781,0.0,2.02,0.022349,0.040452,2.02,2.0,830.0,1
4.04,1.01,10.0,0.0,0.0,14.0,0.151789,0.0,0.0,0.003929,0.000836,0.0,0.0,257.0,0
